X,Y,field_1,field_2,field_3,field_4,icon_url
78.6735423895613,-86.2065450867438,AJDOVŠČINA,Tržnica Ajdovščina,"415372","83199",./0.png
78.5626786802896,-86.2046278935489,AJDOVŠČINA,Pale teniško igrišče,"415420","84045",./0.png
78.5309553271065,-86.2037266273125,AJDOVŠČINA,Pale - piknik prostor,"415472","84295",./0.png
78.4921868656748,-86.2020249824607,AJDOVŠČINA,Fontana Majerija,"415601","84614",./0.png
78.4774944855869,-86.1994494056815,AJDOVŠČINA,Fontana Fužine,"415861","84778",./0.png
78.7066385320197,-86.2049006506603,AJDOVŠČINA,Igrala Ricatova vila,"415600","82995",./0.png
78.6842632585224,-86.2034531241397,AJDOVŠČINA,Fontana Cankarjev trg,"415726","83189",./0.png
78.647099350768,-86.2039826523846,AJDOVŠČINA,Fontana igrala Cebejeva ulica,"415614","83447",./0.png
78.654883309199,-86.2078323181925,AJDOVŠČINA,Fontana pri občini,"415204","83306",./0.png
78.7900418294582,-86.2045752779986,AJDOVŠČINA,Fontana pod Mercatorjem,"415756","82397",./0.png
78.8601317426735,-86.20857880873,AJDOVŠČINA,Cistilna Ajd. (namakalni),"415418","81802",./0.png
78.6772339707471,-86.2051870849263,AJDOVŠČINA,Kolesarji Stari mlin,"415526","83202",./0.png
78.6548759211011,-86.2000475983114,AJDOVŠČINA,Fontana Ulica Veno Pilon,"416056","83477",./0.png
79.386477191726,-86.1762041692808,VIPAVA,Fontana Trg Pavla Rušta,"419704","78648",./0.png
78.9633598699926,-86.1782282421569,BUDANJE,Fontana Budanje rezervoar,"418890","81702",./0.png
78.3219420541111,-86.2090847105058,LOKAVEC,Fontana Lokavec,"414576","85689",./0.png
78.4135582544965,-86.2194317738939,LOKAVEC,Pitnik pred nogometnim igriščem,"413581","84794",./0.png
78.8314730117222,-86.2478341579604,VELIKE ŽABLJE,Fontana Velike Žablje,"411078","81161",./0.png
78.4798250560195,-86.2458789835935,SKRILJE,Fontana Skrilje Bajči,"410786","83726",./0.png
79.0597650338633,-86.2619683503467,ZAVINO,Fontana Zavino,"409849","79223",./0.png
79.1462674261096,-86.2510331027806,ŠMARJE,Fontana Šmarje,"411167","78834",./0.png
77.7279363361183,-86.2174032885485,PREDMEJA,Predmeja spomenik,"412758","89785",./0.png
78.9694001756774,-86.1419810135937,COL,Col spomenik,"422870","82432",./0.png
